产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
195116197,湖南德康堂,230g/支,数量：6*价格：21.99,2026-06-08,3534,92,21.99,1466
259906300,湖南德康堂,230g/支,数量：6*价格：22.5,2026-06-08,3594,90,22.5,1406
234825256,非药汇,230g,数量：3*价格：23.8,2026-08-24,6,147,23.8,702
259910951,洁玲,230g,"数量：6*价格：22.7,数量：48*价格：22.2",2026-06-08,1000,35,22.7,698
248526159,鑫美康,230g,数量：9*价格：24.29,2026-08-16,114,60,24.29,858
236328032,金东药城,230g,数量：12*价格：22.6,2026-06-14,48,51,22.6,780
196233406,晋实惠,薄荷清爽型 230g,数量：12*价格：23.98,2025-08-29,48,90,23.98,1551
253811565,云达医疗,230g,数量：6*价格：23.99,2026-10-10,37,5,23.99,102
259757225,蒙特生物,薄荷230g+冰柠30g+水漾薄荷100ml,数量：6*价格：26.5,2026-08-01,9877,11,26.5,122
270124790,药店品种预约中心,230g薄荷+30g留兰+30g冰柠,"数量：6*价格：26.0,数量：10*价格：25.5,数量：18*价格：25.0",2026-08-30,4110,4,26.0,80
258458600,福鄂花参燕,230g,数量：6*价格：24.5,2026-03-25,9940,1,24.5,60
272723352,,薄荷清爽型 230g,数量：11*价格：26.44,2026-06-11,36,1,26.44,60
260483699,志晨医药,230g,"数量：3*价格：25.49,数量：6*价格：24.79,数量：9*价格：24.29",2026-09-12,949,13,25.49,80
225639599,德润堂,230g,"数量：6*价格：23.5,数量：48*价格：23.28",2026-02-08,1000,10,23.5,128
253733389,云达医疗,230g,数量：6*价格：24.25,2026-10-10,48,62,24.25,572
259961867,晨文医药,230g,数量：6*价格：24.79,2026-09-10,480,9,24.79,90
262442655,湖南德康堂,230g/支,数量：6*价格：22.1,2026-06-08,4960,6,22.1,40
252943568,志文旗舰店,230g,"数量：3*价格：25.49,数量：6*价格：24.79,数量：9*价格：24.29",2026-02-28,15,7,25.49,69
194736331,鑫创源,薄荷清爽型 230g,数量：9*价格：24.2,2026-06-18,180,219,24.2,3042
262751663,东莞康洁,薄荷清爽型230g+赠高地留兰香型30g+冰柠薄荷30g,"数量：4*价格：27.5,数量：8*价格：27.0,数量：18*价格：26.5",2026-09-14,360,4,27.5,50
270461642,康多多,薄荷清爽型 230g,数量：10*价格：24.1,2026-09-14,200,1,24.1,20
270570796,东莞康洁,230g+30g+30g,数量：18*价格：25.5,2026-09-14,558,1,25.5,18
268806117,一金医疗,薄荷清爽型230g+赠高地留兰香型30g,数量：18*价格：25.5,2026-09-14,562,1,25.5,18
270408874,药店品种预约中心,230g薄荷+30g留兰+30g冰柠,"数量：6*价格：26.0,数量：10*价格：25.5,数量：18*价格：25.0",2026-08-30,4110,1,26.0,18
252950359,鑫美康,230g,"数量：3*价格：25.48,数量：6*价格：24.79,数量：9*价格：24.29",2026-08-16,72,4,25.48,18
270736917,金东药城,230g,数量：6*价格：22.6,2026-06-14,48,1,22.6,10
267584436,叶丰源,薄荷清爽型230g+赠高地留兰香型30g+冰柠薄荷30g,"数量：4*价格：27.5,数量：8*价格：27.0",2026-09-14,562,1,27.5,10
216319795,洁玲,230g,"数量：6*价格：22.7,数量：48*价格：22.5",2026-06-08,1000,145,22.7,2814
211303053,志晨医药,230g/支,数量：6*价格：24.79,2026-09-12,9,52,24.79,357
263250681,广东森锐,薄荷清爽型230g+赠高地留兰香型30g+冰柠薄荷30g,"数量：4*价格：27.5,数量：18*价格：26.5",2026-09-14,120,4,27.5,59
215656633,志晨医药,230g,"数量：3*价格：25.5,数量：6*价格：24.8,数量：9*价格：24.3",2026-09-12,800,2,25.5,12
272940944,大山甲,230g,数量：3*价格：27.3,2026-05-24,1000,1,27.3,3
270615097,湖南德康堂,230g/支,数量：6*价格：22.2,2026-01-10,8643,0,22.2,0
260544515,德润堂,230g,"数量：6*价格：23.0,数量：48*价格：22.5",2026-02-08,1000,0,23.0,0
270575544,德润堂,230g,数量：6*价格：23.5,2026-02-08,1000,0,23.5,0
270505152,洁玲,230g,"数量：6*价格：23.5,数量：18*价格：23.42,数量：24*价格：23.4,数量：48*价格：23.27",2026-06-08,1000,0,23.5,0
194542510,洁玲,230g,数量：6*价格：23.5,2026-06-08,6,0,23.5,0
255761616,艾小七,230g/支,数量：6*价格：23.8,2026-08-17,123,0,23.8,0
200739999,湖北惠源,230g/支,数量：16*价格：23.8,2026-09-15,40,3,23.8,76
183152821,湖北惠源,230g/支,数量：16*价格：23.8,2026-09-15,40,0,23.8,0
272159427,成都康瑞臣,230g,数量：5*价格：23.81,2026-02-09,267,0,23.81,0
270510543,成都康瑞臣,230g,数量：4*价格：23.81,2026-02-09,29,0,23.81,0
269294218,紫芊,230g/支,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
269280754,紫芊,230g/支,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
255896506,紫芊,230g/支,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
194546251,紫芊,230g/支,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
269392487,晋实惠,薄荷清爽型 230g,数量：12*价格：23.98,2025-08-29,48,0,23.98,0
210250905,福鄂花参燕,230g,数量：6*价格：24.0,2026-03-25,996,0,24.0,0
272151771,鑫创源,薄荷清爽型 230g,数量：9*价格：24.2,2026-06-18,90,0,24.2,0
265163600,鑫创源,薄荷清爽型 230g,数量：9*价格：24.2,2026-06-18,90,2,24.2,18
248334326,湖南凡康,230g,"数量：6*价格：24.2,数量：9*价格：23.9",2026-06-07,159,6,24.2,60
211875023,鑫创源,薄荷清爽型 230g,数量：9*价格：24.2,2026-06-18,90,1,24.2,9
211874973,鑫创源,薄荷清爽型 230g,数量：9*价格：24.2,2026-06-18,90,2,24.2,27
270098610,福鄂花参燕,230g,数量：6*价格：24.5,2026-03-25,10000,0,24.5,0
268058948,福鄂花参燕,230g,数量：6*价格：24.5,2026-03-25,10000,0,24.5,0
268056989,福鄂花参燕,230g,数量：6*价格：24.5,2026-03-25,10000,0,24.5,0
262335669,湖南凡康,230g,"数量：6*价格：24.5,数量：9*价格：24.1",2026-06-07,159,0,24.5,0
260333268,艾小七,230g/支*48支/件,数量：18*价格：24.5,2026-08-17,108,0,24.5,0
210251339,参燕堂,230g/支,数量：6*价格：24.5,2026-04-01,9996,0,24.5,0
